제목,발행년도,작가,출판사,별점
Mr. Tea and the Traveling Teacup (Madeline's Teahouse Book 1),2012,Leslie Matthews Stansfield,"Cozy Cat Press; 1st edition (September 25, 2012)",4.5
The Cairo Brief (Poppy Denby Investigates Book 4),2018,Fiona Veitch Smith,"Lion Fiction; New edition (September 21, 2018)",4.4
"Burn, Witch, Burn!",2014,Abraham Merritt,"eStar Books (December 3, 2014)",4.0
Demon In The Mist,2013,Rickey A Russell,"Rickey Russell Writings; 2nd Edition (March 13, 2013)",4.4
Next of Kin (Motive Games),2015,Carol Preston,"Rhiza Press (May 1, 2015)",4.0
To Run a Little Faster,2015,John E. Gardner,"Lume Books (September 24, 2015)",3.6
Forty-Four Book Eleven (44 series 11),2014,Jools Sinclair,"You Come Too Publishing (November 26, 2014)",4.7
The Special,2013,J E Pendleton Jr,"Woodwind Press; 3rd edition (January 15, 2013)",4.5
Rebellion (Raines & Shaw Thriller Series Book 3),2017,John Ling,"Kia Kaha Press (January 24, 2017)",4.4
Traditions: Essays on the Japanese Martial Arts and Ways,2011,Dave Lowry,"Tuttle Publishing; Reprint edition (November 15, 2011)",4.6
The Green Smoothie Recipe Book: Over 100 Healthy Green Smoothie Recipes to Look and Feel Amazing,2013,Mendocino Press,"Mendocino Press (December 18, 2013)",4.4
How to Build Wooden Boats: With 16 Small-Boat Designs (Dover Woodworking),2012,Edwin Monk,"Dover Publications; Revised ed. edition (August 2, 2012)",4.2
"The Saga of Dead-Eye, Book One: Vampires, Zombies, & Mojo Men",2022,Ronald Kelly,"Crossroad Press (April 17, 2022)",4.3
The Wheel: Inventions and Reinventions (Columbia Studies in International and Global History),2016,Richard W. Bulliet,"Columbia University Press (January 19, 2016)",4.0
Promised Lies (A Detective Blanchette Mystery Book 1),2017,Marguerite Ashton,"Lume Books (March 16, 2017)",4.2
La Divina Comedia (Spanish Edition),2011,Gustave Doré,"Editorial Hansben (October 26, 2011)",4.4
From the Reluctant Messenger: In the Beginning,2022,Ms. Candice M. Sanderson,"Clark Press; 1st edition (March 29, 2022)",4.7
The Lady of the Rivers: Cousins' War 3 (Cousins War Series),2011,Philippa Gregory,"Simon & Schuster UK; UK ed. edition (September 15, 2011)",4.5
Stardust,2019,Maura Beth Brennan,"Maura Beth Brennan (October 28, 2019)",4.3
50 Instructional Routines to Develop Content Literacy (Teaching Strategies Series),2014,Douglas Fisher,"Pearson; 3rd edition (February 5, 2014)",4.6
Along the Chisholm Trail and Other Poems,2012,George Rhoades,"Outskirts Press, Inc. (May 30, 2012)",5.0
Don't Look Down (Shadows of New York Book 2),2020,Hilary Davidson,"Thomas & Mercer (February 11, 2020)",4.4
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 7 (I've Been Killing Slimes for 300 Years and Maxed Out My Level (light novel))",2020,Kisetsu Morita,"Yen On; Reprint edition (June 23, 2020)",4.7
Self-Working Close-Up Card Magic: 56 Foolproof Tricks (Dover Magic Books),2012,Karl Fulves,"Dover Publications (July 19, 2012)",4.3
"Lovable Felted Animals: Enchanting Mascots, Pets and Accessories",2020,Yuko Sakuda,"Tuttle Publishing (April 7, 2020)",4.7
Iluliaq: A short story of age and attachment in the Arctic (Greenland Crime Stories Book 8),2019,Christoffer Petersen,"Aarluuk Press for Arctic Noir, Action Thrillers and Greenland Crime (August 25, 2019)",4.6
Witches,2020,Dan Foley,"Crossroad Press (August 25, 2020)",4.5
Splitting the Licks: Improvising and Arranging Songs on the 5-String Banjo,2015,Janet Davis,"Mel Bay Publications, Inc. (June 2, 2015)",4.5
A Dog About Town (The Bull Moose Dog Run Mysteries Book 1),2007,J. F. Englert,"Dell (May 29, 2007)",4.1
Pack Rules (The Victorious Redemption Book 2),2022,Michael Anderle,"LMBPN Publishing; 1st edition (July 26, 2022)",4.5
Finders Keepers: A Novel (The Bill Hodges Trilogy Book 2),2015,Stephen King,"Scribner; Reissue edition (June 2, 2015)",4.4
Auschwitz Lullaby: A Novel,2018,Mario Escobar,"Thomas Nelson (August 7, 2018)",4.5
CATTYWAMPUS: Part of the Knucklebucket Thang Series,2019,Robert Ford,"Sad Bastard (July 8, 2019)",4.8
Duino Elegies/Duineser Elegien: A Dual-Language Book (Dover Dual Language German) (German Edition),2013,Rainer Maria Rilke,"Dover Publications; Bilingual edition (June 5, 2013)",4.8
The Summoning (The Shadow World Series Book 1),2014,Francis Cottam,"Severn House; First World Publication edition (May 1, 2014)",3.9
Kitty the Cat Makes a Gingerbread House: Preschool Christmas Children's Books by Age 3-5 (Me and My Grandma Kids Book for Toddlers) (Kitty the Cat Kids Books Ages 3-5),2019,Adele Woodward,"Kokolo Home & Gift (October 29, 2019)",4.6
"My Country, My Life: Fighting for Israel, Searching for Peace",2018,Ehud Barak,"St. Martin's Press (May 8, 2018)",4.7
Skills for Success with Microsoft Office 2016 Volume 1 (Skills for Success for Office 2016 Series),2016,Stephanie Murre Wolf,"Pearson; 1st edition (March 15, 2016)",4.3
American Mutt: The Crime of the Century,2020,Scott Falcon,"Rand Wilde Media (January 15, 2020)",4.4
Marley: Messy Dog (I Can Read Level 2),2011,John Grogan,"HarperCollins (May 31, 2011)",4.9
"Redy and Bluey: Nursery Rhymes: Bedtime Story, Early/Beginner Readers, Preschool, Values Book, Children's book, Picture Book, Funny humor ebook, Rhyming Book, kids book collection, Poetry",2014,Helen H. Wu,"Helen H Wu Company (May 22, 2014)",4.5
Madame Bovary: (Penguin Classics Deluxe Edition),2010,Gustave Flaubert,"Penguin Classics (September 23, 2010)",4.2
Stars in His Eyes,2019,Martí Gironell,"Amazon Crossing (July 1, 2019)",3.8
S.O.B.E.R.*,2015,Anita Devlin,"Devlin Publishing; 1st edition (January 22, 2015)",4.7
"Practical Guide to Advanced Networking, A",2012,Jeffrey S. Beasley,"Pearson IT Certification; 3rd edition (November 5, 2012)",4.3
Fast Track To Custom Home Building,2013,Joe Salas,"Joe Salas (June 14, 2013)",3.7
"Spellcraft for a Magical Year: Rituals and Enchantments for Prosperity, Power, and Fortune",2015,Sarah Bartlett,"Fair Winds Press (July 15, 2015)",4.6
The Wayward Wizard (Magic and Mayhem Book 1),2020,Alesha Escobar,"Creative Alchemy, Inc. (January 28, 2020)",4.4
The Big Book of More Baking with Refrigerated Dough (Betty Crocker Big Books),2016,HOUGHTON MIFFLIN HARCOURT,"Houghton Mifflin Harcourt (February 2, 2016)",4.5
Dawn To Deadly Nightshade: Sequel To Brandy Row,2013,Shelagh Mazey,"Matador (July 14, 2013)",4.3
Preparing for Climate Change: Coastal flooding will cost the U.S. billions of dollars within two decades. Learn how to prepare.,2019,John A. McCormick,"Groundhog Press Inc.; 2nd edition (July 3, 2019)",3.4
Diary of a Witch's Daughter,2015,Tonya Parker,"Tonya D. Parker (June 15, 2015)",4.3
One Man and His Bike: A Life-Changing Journey All the Way Around the Coast of Britain,2011,Mike Carter,"Ebury Digital (June 2, 2011)",4.6
The Void,2013,Marta Moran Bishop,"Crowe Press LLC (July 21, 2013)",4.3
Dangerous Boys,2018,Greg F. Gifune,"Down & Out Books (March 5, 2018)",4.7
Clean Slate Cleanse: The Workbook,2019,Dr. Lindsey Elmore,"Lindsey Elmore (April 1, 2019)",4.9
Do Not Disclose: A Memoir Of Family Secrets Lost and Found,2021,Leora Krygier,"She Writes Press (August 24, 2021)",4.4
Scratch Programming Playground: Learn to Program by Making Cool Games,2016,Al Sweigart,"No Starch Press; 1st edition (September 16, 2016)",4.7
THE DEMON KILLER an enthralling murder mystery with a twist (Detective Inspector Jack Dawes Mystery Book 7),2021,Frances Lloyd,"Joffe Books crime thrillers, suspense and mystery (March 7, 2021)",4.3
Dark Angel (A Jack Madson Novel Book 3),2016,Ron Felber,"Barricade Books (April 20, 2016)",3.4
Everything is Horrible Now: A Novel of Cosmic Horror,2019,Edward Lorn,"Lornographic Material; 1st edition (February 5, 2019)",3.7
The Remnants,2014,W.P. Osborn,"eBookIt.com (October 4, 2014)",4.0
Assassins: Superpower Chronicles Book 5 (The Complete Series: Superpower Chronicles),2020,Arthur Mayor,"Dark Shadowy Cabal (July 9, 2020)",4.6
A Murder on New Year's Eve: An Ennin Mystery #72 (The Ennin Mysteries),2016,Ben Stevens,"Nanbanjin (September 14, 2016)",3.7
Manta Rays and Margaritas: Tropical Travels to Dive the Oceans,2012,Karen Begelfer,"Wandering Traveler Press (February 25, 2012)",4.7
Leaving the Pink House,2014,Ladette Randolph,"University Of Iowa Press; 1st edition (September 1, 2014)",3.6
Marie Antoinette (German Edition),2013,Stefan Zweig,"Edition Venedi (January 12, 2013)",4.0
A Silent Way to Die (A Kember and Hayes Mystery Book 2),2022,N. R. Daws,"Thomas & Mercer (April 26, 2022)",4.3
Ralph Ellison,2007,Arnold Rampersad,"Vintage (April 24, 2007)",4.7
"Energy Trading and Investing: Trading, Risk Management, and Structuring Deals in the Energy Market, Second Edition",2017,Davis W. Edwards,"McGraw Hill; 2nd edition (January 27, 2017)",4.7
Elves: Rise of the TaiGethen (Elves Series Book 2),2012,James Barclay,"Gollancz (February 16, 2012)",4.4
Understand Alzheimer’s: A First-Time Caregiver’s Plan to Understand & Prepare for Alzheimer’s & Dementia,2014,Calistoga Press,"Calistoga Press (January 6, 2014)",4.5
"Where the Light Enters: Building a Family, Discovering Myself",2019,Jill Biden,"Flatiron Books (May 7, 2019)",4.7
Tell Me Lies,2023,Teresa Driscoll,"Thomas & Mercer (April 18, 2023)",4.2
"The Power of the Healing Field: Energy Medicine, Psi Abilities, and Ancestral Healing",2021,Peter Mark Adams,"Healing Arts Press; 2nd edition (November 23, 2021)",4.4
The Fate of the Tearling: A Novel (The Queen of the Tearling Book 3),2016,Erika Johansen,"Harper; Reprint edition (November 29, 2016)",4.2
Photographer's Guide to the Sony DSC-RX10: Getting the Most from Sony's Advanced Compact Camera,2014,Alexander S. White,"White Knight Press (April 3, 2014)",4.6
She Sheds: A Room of Your Own,2017,Erika Kotite,"Cool Springs Press (January 15, 2017)",4.6
SELECTED,2011,Wayne DePriest,"Wayne DePriest; First edition (December 27, 2011)",3.6
Diamondback McCall,2012,Robert Middleton,"AmazonEncore; Reprint edition (December 18, 2012)",2.0
Little Book of Spring (Little Book of Poetry Collection 2),2019,Claire Buss,"CB Visions; 2nd edition (September 9, 2019)",4.0
The Librarian: A Winter Paranormal Mystery,2021,K.C. Nightfall,"Living Proof Stories (January 13, 2021)",4.5
No. 17 (Ben the Tramp Mystery),2016,J. Jefferson Farjeon,"Collins Crime Club (August 11, 2016)",4.1
Hornblower and the Atropos (A Horatio Hornblower Tale of the Sea Book 4),2011,C. S. Forester,"Penguin (September 1, 2011)",4.4
Computer Networks (2-Downloads),2012,David J. Wetherall,"Pearson; 5th edition (January 17, 2012)",4.1
Every Man in This Village is a Liar: An Education in War,2010,Megan K. Stack,"Anchor (June 3, 2010)",4.3
Half and Half Quilt Pattern + Block Gallery,2016,Carrie Merrell,"Carrie Actually; 2nd edition (April 4, 2016)",3.8
Ping Pong & Pussy Popping: An Anecdotal History of the Vagina,2012,Sandra Cain,"Milford Press (February 28, 2012)",3.2
Protozoa and Human Disease,2012,Mark F. Wiser,"Garland Science; 1st edition (August 20, 2012)",4.5
Santa Claus The Fourth Wise Man,2012,Tommy Baker,"Outskirts Press, Inc. (December 6, 2012)",4.0
The Burglar on the Prowl (Bernie Rhodenbarr Series Book 10),2009,Lawrence Block,"HarperCollins e-books (October 13, 2009)",4.3
AMERICA: DIVIDED WE STAND?!: VOLUME 1 : A COLLECTION OF POLITICAL AND SOCIAL POETRY (AMERICA DIVIDED WE STAND?!),2014,Leon Kwasi Kuntuo-Asare,"LEON KWASI KUNTUO-ASARE; 1st edition (May 9, 2014)",5.0
Lessons Learned: Stories from Women in Medical Management,2013,Deborah M. Shlian,"American College of Physician Executives (January 11, 2013)",4.2
A Hanukkah with Mazel,2016,Joel Edward Stein,"Kar-Ben Publishing ®; Reprint edition (August 1, 2016)",4.5
Duncan's Yankee: Mathew Duncan Trilogy Volume 2,2014,Sidney A. Brown,"Dog River Press; 1st edition (May 15, 2014)",4.7
Ambulance Girls Under Fire (Ambulance Girls 2),2018,Deborah Burrows,"Ebury Digital (January 25, 2018)",4.5
The Orphaned Worlds: Book Two of Humanity's Fire,2010,Michael Cobley,"Orbit (October 7, 2010)",4.1
Nowhere Out,2014,Vincent Sachar,"Divont Publishers (September 11, 2014)",4.1
Don't Know Much About Geography: Everything You Need to Know About the World but Never Learned (Don't Know Much About Series),2013,Kenneth C. Davis,"Harper Paperbacks; Updated ed. edition (May 21, 2013)",4.5
Shark's Fin and Sichuan Pepper: A sweet-sour memoir of eating in China,2014,Fuchsia Dunlop,"Ebury Digital (March 31, 2014)",4.5
Truth and Genesis: Philosophy as Differential Ontology (Studies in Continental Thought),2004,Miguel de Beistegui,"Indiana University Press (June 16, 2004)",3.1
The Great Gatz (The Gatz Chronicles Book 2),2021,Lauren Baratz-Logsted,"Berkley (December 7, 2021)",4.5
Memoirs of a Geisha: The Literary Sensation and Runaway Bestseller (Vintage 21st Anniv Editions),2008,Arthur Golden,"Vintage Digital (December 2, 2008)",4.6
Vocabulary Power Plus for the New SAT - Book Three,2010,Daniel A. Reed,"Prestwick House, Inc.; 9/30/03 edition (November 1, 2010)",3.9
"What Is Ecological Civilization?: Crisis, Hope, and the Future of the Planet",2019,Wm. Andrew Schwartz,"Process Century Press (September 8, 2019)",4.3
Crime Syndicate Magazine Issue Three,2017,Max Booth III,"Short Stack Books (September 28, 2017)",4.0
Deadly Lies,2011,Cynthia Eden,"Forever; 1st edition (March 1, 2011)",4.5
The 33-Year-Old Rookie: How I Finally Made it to the Big Leagues After Eleven Years in the Minors,2008,Chris Coste,"Ballantine Books (March 18, 2008)",4.7
The Roach: A Dark Vigilante Thriller,2020,Rhett C. Bruno,"Aethon Books (December 8, 2020)",4.4
Honeymoon,2011,James Patterson,"Headline (May 12, 2011)",4.4
Paris in Ruins: A Novel of Passion and the French Resistance,2022,D. Manning Richards,"Aries Books (June 13, 2022)",4.6
The Mirror Sisters: A Novel (The Mirror Sisters Series Book 1),2016,V. C. Andrews,"Pocket Books (October 25, 2016)",4.6
"Locally Laid: How We Built a Plucky, Industry-changing Egg Farm - from Scratch",2016,Lucie B. Amundsen,"Avery (March 1, 2016)",4.4
"Loyal in Love: Henrietta Maria, Queen of Charles I (Queens of England Book 1)",2007,Jean Plaidy,"Crown; Reprint edition (October 23, 2007)",4.0
"Breverton's Encyclopedia of Inventions: A Compendium of Technological Leaps, Groundbreaking Discoveries and Scientific Breakthroughs that Changed the World",2012,Terry Breverton,"Quercus; UK ed. edition (April 26, 2012)",4.6
Towards Zero (Agatha Christie Collection),2010,Agatha Christie,"HarperCollins; Masterpiece Ed edition (October 14, 2010)",4.3
Weather We Like It or Not!: Cool Games to Play on A Windy Day: Weather for Kids - Earth Sciences (Children's Weather Books),2015,Baby Professor,"Baby Professor (December 20, 2015)",3.7
The Splattering of Silence,2023,Michele Gargiulo,"Sommelier Stories Press (February 3, 2023)",4.6
Bad Vibes,2014,C.J. Carella,"Fey Dreams Productions LLC; 2nd edition (July 31, 2014)",3.7
"Quilts from the House of Tula Pink: 20 Fabric Projects to Make, Use and Love",2012,Tula Pink,"Interweave (February 21, 2012)",4.6
An Intimate Conversation with my Younger Self,2016,Alice A Hoffman,"Restore Honor Press (November 22, 2016)",3.7
Supernatural: Nevermore,2009,Keith R. A. Decandido,"HarperCollins e-books; Media tie-in edition (October 13, 2009)",4.6
"Sacred Economics: Money, Gift, and Society in the Age of Transition",2011,Charles Eisenstein,"North Atlantic Books (July 12, 2011)",4.6
Of Forests and Fields: Mexican Labor in the Pacific Northwest (Latinidad: Transnational Cultures in the United States),2016,Mario Jimenez Sifuentez,"Rutgers University Press (March 8, 2016)",4.6
A Thesaurus of Medical Word Roots,2013,Horace G. Danner,"Scarecrow Press; 1st edition (August 15, 2013)",5.0
A Kiss to Kill (A Passion for Danger Trilogy Book 3),2010,Nina Bruhns,"Berkley (April 2, 2010)",4.3
The First Order (The Chronicles of Sister June Book 1),2022,Amy Cross,"Blackwych Books Ltd (February 14, 2022)",4.2
3D Printing with SketchUp,2014,Marcus Ritland,"Packt Publishing; Illustrated edition (May 21, 2014)",4.1
Festival of Mourn (The Dark Sorcerer Book 1),2021,D.K. Holmberg,"ASH Publishing (April 6, 2021)",4.2
Time of Contempt: Witcher 2 – Now a major Netflix show (The Witcher Book 8),2013,David French,"Gollancz; 1st edition (June 24, 2013)",4.5
By Death Divided (Thackeray & Ackroyd Book 14),2013,Patricia Hall,"Allison & Busby (September 30, 2013)",4.0
A Sunny Tomorrow,2011,Theresa Franklin,"Brighton Publishing LLC; 1st edition (March 7, 2011)",4.0
Guild,2009,Edward Gorman,"AmazonEncore (April 28, 2009)",3.8
Red To Black,2012,Alex Dryden,"Review (March 15, 2012)",4.0
Windows PowerShell Step by Step,2015,Ed Wilson,"Microsoft Press; 3rd edition (October 13, 2015)",4.6
Redemption (Amos Decker series Book 5),2019,David Baldacci,"Macmillan; Main Market edition (April 18, 2019)",4.5
The Saint and the Templar Treasure,2014,Leslie Charteris,"Thomas & Mercer (March 18, 2014)",4.3
Cold Grave: An unsolved crime; a tide of secrets suddenly and shockingly unleashed ...,2012,J. Craig Robertson,"Simon & Schuster UK (June 7, 2012)",4.1
Gently With the Painters (George Gently),2011,Alan Hunter,"Constable; UK ed. edition (November 3, 2011)",4.0
The Disappearance at Pere-Lachaise: A Victor Legris Mystery (Victor Legris Mysteries Book 2),2010,Claude Izner,"Minotaur Books; Illustrated edition (September 14, 2010)",3.8
Toby's Room (The Life Class Trilogy Book 2),2012,Pat Barker,"Penguin (August 16, 2012)",4.2
Anubis: a novel (New Caliphate Book 2),2018,Eric C. Anderson,"Dunn Books (June 5, 2018)",4.3
How to Do Everything Digital Photography,2011,Jason R. Rich,"McGraw Hill; 1st edition (March 8, 2011)",4.5
The Other Side of Night: A Novel,2022,Adam Hamdy,"Atria Books (October 11, 2022)",3.6
The Four Corners of Horror,2022,Matt Converse,"Vamptasy Publishing (February 5, 2022)",4.6
Seeing With Their Eyes (Medium Series Book 2),2016,Candy O'Donnell,"O'Donnell Publishing (March 9, 2016)",5.0
Dollar Origami: 10 Origami Projects Including the Amazing Koi Fish (Origami Books),2013,Won Park,"Thunder Bay Press; Box Nov Sp edition (March 4, 2013)",4.2
"Confessions of a Mediocre Widow: Or, How I Lost My Husband and My Sanity",2014,Catherine Tidd,"Sourcebooks (January 7, 2014)",4.6
Mutiny On The Bounty,2009,John Boyne,"Transworld Digital (November 24, 2009)",4.6
Shadows Remain,2013,Tim McWhorter,"Manta Press, Ltd.; 3rd edition (January 21, 2013)",4.7
On the Wings of Hope,2020,Ella Zeiss,"Lake Union Publishing (November 17, 2020)",4.5
The Black Vaults Experiment (The Ghost Field series Book 1),2018,Patrick C. Walsh,"Garden City Ink (January 5, 2018)",4.4
"A Purloined Solstice: A Goetic Witch Mystery (Paranormal Cozy Mystery, WPF, UF) (Goetic Witch Mysteries)",2021,Audrey Brice,"Darkerwood Publishing Group (November 30, 2021)",4.0
Tom Clancy Enemy Contact (A Jack Ryan Jr. Novel Book 6),2019,Mike Maden,"G.P. Putnam's Sons (June 11, 2019)",4.4
Devious Crime (Hangman Book 4),2019,WL Knightly,"Star Key Press (April 25, 2019)",4.5
Fractal Flames Dazzling,2017,John Pirillo,"John Pirillo (May 15, 2017)",4.9
Beyond the Beyond: Poems to my Beloved Self,2013,Janaka Stagnaro,"Narrow Deer Press (November 12, 2013)",5.0
Beneath (Eldritch City Shorts Book 1),2015,Robin Heggelund Hansen,"Robin Heggelund Hansen; 1st edition (March 20, 2015)",4.5
In Big Trouble: A Tess Monaghan Novel,2009,Laura Lippman,"William Morrow Paperbacks; Reprint edition (March 17, 2009)",4.3
The Last Garden in England,2021,Julia Kelly,"Gallery Books (January 12, 2021)",4.4
Unveiling the Past: A Ghost Detective Novel,2021,R.W. Wallace,"Varden Publishing (August 19, 2021)",4.6
Winter Tide (The Innsmouth Legacy Book 1),2017,Ruthanna Emrys,"Tordotcom (April 4, 2017)",4.3
PITHOLE: Where the Devil Danced,2015,Robert Pringle,"Booklocker.com, Inc. (August 16, 2015)",4.6
Terms of Extraction - A Jack Storm Spy Thriller: Assassination Espionage Mission,2023,Ethan Jones,"Knightsville Books (March 28, 2023)",4.8
The Silent Companions: The perfect spooky tale to curl up with this winter,2017,Laura Purcell,"Raven Books; 1st edition (October 5, 2017)",4.2
Sonora: A Jack Novak Thriller,2007,E. Howard Hunt,"Forge Books (April 1, 2007)",3.4
"Winesburg, Ohio",2008,Common Classics Dyslexia-Friendly,"Bantam Classics (June 24, 2008)",4.1
That's My Ghoul,2015,Christopher Lesko,"Leskocrazy Press (November 1, 2015)",4.1
If It Rains Pancakes: Haiku and Lantern Poems (Poetry Adventures),2014,Brian P. Cleary,"Millbrook Press ™; Illustrated edition (January 1, 2014)",4.2
Cabin Fever: 20 Modern Log Cabin Quilts,2015,Natalia Bonner,"Stash Books (May 18, 2015)",4.7
Jilted & Jinxed: A Midlife Matchmaker Mystery (Midlife Matchmaker Mysteries Book 2),2022,Kat McGee,"Towering Pines Publishing (May 3, 2022)",4.4
The Televisionary Oracle,2013,Rob Brezsny,"Frog Books; 1st edition (May 7, 2013)",4.5
Finding Compassion in China: A Bicycle Journey into the Countryside,2012,Cindie Cohagan,"Drifting Sands Press (July 2, 2012)",4.1
Soul Agreements,2005,Tara Sutphen,"Hampton Roads Publishing (April 25, 2005)",4.4
Shadows for a Princess (Trials of Terraina Book 1),2016,Vivienne Savage,"Payne & Taylor (July 23, 2016)",4.5
Time Traveling with a Hamster,2016,Ross Welford,"Schwartz & Wade (October 4, 2016)",4.6
Simply A Matter Of Time: A Steamy Small Town Romance (The Firemark Series Book 2),2020,Kathryn Murphy,"Caraway Press, LLC (May 18, 2020)",4.3
Like the Flowing River,2011,Paulo Coelho,"Harper; UK ed. edition (April 28, 2011)",4.6
Echo Park (Harry Bosch Book 12),2009,Michael Connelly,"Allen & Unwin (September 1, 2009)",4.6
You are a Beautiful Soul (17 - Series 1 Book 2),2015,H.A. Terpening,"H.A. Terpening (September 10, 2015)",5.0
Frances Finkel and the Passenger Pigeon,2022,D.M. Mahoney,"BookBaby; 1st edition (April 17, 2022)",4.7
"Kali Linux - An Ethical Hacker's Cookbook: Practical recipes that combine strategies, attacks, and tools for advanced penetration testing, 2nd Edition",2019,Himanshu Sharma,"Packt Publishing; 2nd edition (March 29, 2019)",4.6
The Dark Tower V: Wolves of the Calla,2003,Stephen King,"Scribner; Reprint edition (November 4, 2003)",4.7
GLADIATORS OF THE NAUMACHIA,2014,Sterling Nixon,"S&J PUBLISHING; 2nd edition (September 4, 2014)",4.3
Zack Files 03: A Ghost Named Wanda (The Zack Files Book 3),1996,Dan Greenburg,"Grosset & Dunlap (August 6, 1996)",4.5
Limestone Cowboy: The riveting Yorkshire crime series (DI Charlie Priest Mysteries Book 9),2012,Stuart Pawson,"Allison & Busby (January 30, 2012)",4.3
Merry Ex-Mas (Life in Icicle Falls Book 2),2018,Sheila Roberts,"MIRA; First Time Paperback edition (September 10, 2018)",4.4
Fifty Shapes of Swan: A Natural History in Photos,2014,Merridy Cox Bradley,"Merridy Bradley (November 13, 2014)",4.3
The Gimmel Flask (Masters and Green Book 9),2019,Douglas Clark,"Lume Books (January 24, 2019)",4.2
Chronicles of the Black Company (Chronicles of the Black Company Series Book 1),2007,Glen Cook,"Tor Books; First edition (November 13, 2007)",4.6
DIVORCE. Why Me? Why Not?,2011,Don Napolitano,"River City Publishing Corporation (February 15, 2011)",5.0
"Laughland: A philosophical thriller or war, greed, and God",2010,Ken Byers,"Byers (July 6, 2010)",4.5
"First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen",2014,Charles C. Lovett,"Penguin Books (October 16, 2014)",4.2
Eve of War (Agency Book 1),2022,Richard F. Weyand,"Weyand Associates, Inc. (October 7, 2022)",4.4
Murder in Friday Street (Marsh and Daughter Book 2),2018,Amy Myers,"Lume Books (May 31, 2018)",4.0
La Daronne (Littérature d'autres horizons) (French Edition),2017,Hannelore Cayre,"Métailié; 1st edition (March 9, 2017)",4.1
Body of Sin: A second-chance dark urban fantasy romance (The Sins Series Book 5),2017,Eve Silver,"Eve Silver; 2nd edition (May 20, 2017)",4.6
The Jinxed Juniper Tree,2020,Victor Vilestone,"McGowan Twins Publishing (October 7, 2020)",4.4
USA has Issues with British Maps of 18th century (History: Fiction or Science?),2015,Anatoly Fomenko,"Delamere Publishing; 2nd edition (August 2, 2015)",4.3
L'abbé Pierre (Regards) (French Edition),2012,Axel Sénéquier,"Mame (June 14, 2012)",5.0
"One Summer Weekend: A fun, feelgood romance perfect for summer (The Smith Family Book 1)",2018,Juliet Archer,"Choc Lit (June 19, 2018)",4.3
"Stock Market Trading and Forex Trading for Beginners: The Ultimate Guide to Learning the Best Investing Strategies, Money Management, Tips And Tricks, Psychology and Discipline to Earn From Your Home",2020,Benjamin Stockton,"Benjamin Stockton (July 18, 2020)",4.8
A Better Place: A Novel,2014,Barbara Hall,"Open Road Media (July 1, 2014)",3.5
Exit West: A Novel,2018,Mohsin Hamid,"Penguin (March 1, 2018)",4.1
"Get Into Gear, Stilton! (Geronimo Stilton #54)",2013,Geronimo Stilton,"Scholastic Paperbacks (June 25, 2013)",4.3
Elsevier's Medical Laboratory Science Examination Review,2014,Gideon Labiner,"Saunders; 1st edition (August 28, 2014)",4.5
Marriage Confidential (Harlequin Intrigue Book 1720),2017,Regan Black,"Harlequin Intrigue; Original edition (July 1, 2017)",4.5
Malice,2011,Griffin Hayes,"Trebor Books (September 27, 2011)",3.7
Infinity,2011,Elizabeth Donald,"Aardvark Productions (February 23, 2011)",5.0
THE MAKINGS OF QUEEN,2022,J.A BUTLER,"DREAMWAKEWORK PUBLISHING (February 15, 2022)",4.7
The Knight Deception: A Trevin Knight Thriller,2017,Ron Collins,"Skyfox Publishing (February 10, 2017)",5.0
The threat from China: A Jacob Detlev Thriller - A Danish Crime Fiction,2020,Thomas C. Krohn,"RosenHill; 1st edition (May 1, 2020)",2.6
Murder House,2015,James Patterson,"Cornerstone Digital (September 24, 2015)",4.3
Soulless: The Case Against R. Kelly,2019,Jim Derogatis,"Abrams Press (June 4, 2019)",4.4
Recessional: The Death of Free Speech and the Cost of a Free Lunch,2022,David Mamet,"Broadside e-books (April 5, 2022)",4.5
When the Lotus Blooms,2012,Kanchana Krishnan Ayyar,"Kanchi Books (January 6, 2012)",4.1
The Boy Made of Snow,2017,Chloe Mayer,"Weidenfeld & Nicolson; 1st edition (November 2, 2017)",3.9
The Lost and the Blind,2015,Declan Burke,"Severn House; First World Publication edition (April 1, 2015)",3.5
"Death On A Green (Jill Quint, MD, Forensic Pathologist Series Book 4)",2015,Alec Peche,"GBSW Publishing (January 27, 2015)",4.0
The Accident: The bestselling psychological thriller,2014,C.L. Taylor,"Avon (April 10, 2014)",4.0
Murder in the Garden,2012,Veronica Heley,"Ostara Publishing (January 23, 2012)",4.3
Dim Shores Presents Volume 1,2020,Sam Cowan,"Dim Shores; 1st edition (June 15, 2020)",5.0
Teaching Science With Interactive Notebooks,2010,Kellie Marcarelli,"Corwin; 1st edition (May 18, 2010)",4.5
The Sister Code: A Suspense Thriller,2021,Eliza McCullen,"Laurie Cameron (June 4, 2021)",3.7
Shadeborn (The Arcanus Archives Book 1),2013,Terry C. Simpson,"Golden Arm Press (July 12, 2013)",4.4
The Dark Moment,2011,Ann Bridge,"Bloomsbury Reader; 1st edition (December 1, 2011)",4.2
Desire's Promise: The Desire Series Book 1,2016,Karen Jurgens,"Karen Jurgens; 2nd edition (October 29, 2016)",4.8
